

n: 1000 gestosc: 0,2

etykiety           nastepniki         luki               macierz            liczba lukow
00:00:00.0031960   00:00:00.0010224   00:00:00.0013262   00:00:00.0059634   99657
00:00:00.0010986   00:00:00.0008205   00:00:00.0011377   00:00:00.0058959   100061
00:00:00.0010240   00:00:00.0008371   00:00:00.0012041   00:00:00.0053412   99834
00:00:00.0011140   00:00:00.0008766   00:00:00.0011824   00:00:00.0049687   100150
00:00:00.0009979   00:00:00.0008217   00:00:00.0011843   00:00:00.0061467   100216
00:00:00.0010481   00:00:00.0011010   00:00:00.0014625   00:00:00.0051452   100237
00:00:00.0011531   00:00:00.0008086   00:00:00.0012009   00:00:00.0055182   99915
00:00:00.0013933   00:00:00.0009204   00:00:00.0012231   00:00:00.0062285   99815
00:00:00.0009007   00:00:00.0009007   00:00:00.0014186   00:00:00.0054743   99887
00:00:00.0010421   00:00:00.0008466   00:00:00.0015628   00:00:00.0055048   100013



n: 1000 gestosc: 0,4

etykiety           nastepniki         luki               macierz            liczba lukow
00:00:00.0022431   00:00:00.0023956   00:00:00.0027223   00:00:00.0124341   199857
00:00:00.0016221   00:00:00.0016165   00:00:00.0020910   00:00:00.0085973   199861
00:00:00.0019551   00:00:00.0016086   00:00:00.0021550   00:00:00.0085977   199877
00:00:00.0017509   00:00:00.0016150   00:00:00.0021839   00:00:00.0120043   199461
00:00:00.0018275   00:00:00.0016608   00:00:00.0025457   00:00:00.0099646   199846
00:00:00.0016505   00:00:00.0015707   00:00:00.0023304   00:00:00.0087435   199630
00:00:00.0016462   00:00:00.0016031   00:00:00.0022490   00:00:00.0086376   199945
00:00:00.0021289   00:00:00.0016241   00:00:00.0022720   00:00:00.0085056   199807
00:00:00.0022893   00:00:00.0020831   00:00:00.0022178   00:00:00.0095925   199995
00:00:00.0023300   00:00:00.0019441   00:00:00.0021349   00:00:00.0084495   199798



n: 2000 gestosc: 0,2

etykiety           nastepniki         luki               macierz            liczba lukow
00:00:00.0033418   00:00:00.0038016   00:00:00.0043421   00:00:00.0200043   399817
00:00:00.0039605   00:00:00.0061100   00:00:00.0057655   00:00:00.0205582   399147
00:00:00.0034200   00:00:00.0033453   00:00:00.0057896   00:00:00.0221965   399644
00:00:00.0042315   00:00:00.0032924   00:00:00.0044045   00:00:00.0209462   400226
00:00:00.0289134   00:00:00.0035891   00:00:00.0057912   00:00:00.0207553   399506
00:00:00.0040813   00:00:00.0034536   00:00:00.0061866   00:00:00.0214139   399792
00:00:00.0045692   00:00:00.0059686   00:00:00.0050650   00:00:00.0371536   399690
00:00:00.0033489   00:00:00.0032205   00:00:00.0050737   00:00:00.0309910   400302
00:00:00.0033892   00:00:00.0035480   00:00:00.0043441   00:00:00.0215139   399597
00:00:00.0067496   00:00:00.0063723   00:00:00.0096008   00:00:00.0248095   400231



n: 2000 gestosc: 0,4

etykiety           nastepniki         luki               macierz            liczba lukow
00:00:00.0064391   00:00:00.0071956   00:00:00.0088964   00:00:00.0357203   799085
00:00:00.0062538   00:00:00.0069321   00:00:00.0092108   00:00:00.0356856   799868
00:00:00.0065137   00:00:00.0075820   00:00:00.0089268   00:00:00.0412555   800527
00:00:00.0062281   00:00:00.0069396   00:00:00.0094886   00:00:00.0353446   800244
00:00:00.0061807   00:00:00.0068808   00:00:00.0096841   00:00:00.0356046   799487
00:00:00.0060634   00:00:00.0062688   00:00:00.0087387   00:00:00.0368028   800029
00:00:00.0088723   00:00:00.0064328   00:00:00.0088237   00:00:00.0509231   799237
00:00:00.0062348   00:00:00.0063688   00:00:00.0092021   00:00:00.0365642   798959
00:00:00.0059279   00:00:00.0063494   00:00:00.0094084   00:00:00.0383593   799126
